   Wavelength  Flux
   4110.200       1.395591    
   4111.100       1.437762    
   4112.000       1.477938    
   4112.900       1.519474    
   4113.800       1.561814    
   4114.700       1.599078    
   4115.600       1.627612    
   4116.500       1.647919    
   4117.400       1.668117    
   4118.300       1.686365    
   4119.200       1.710802    
   4120.100       1.734300    
   4121.000       1.757778    
   4121.900       1.778758    
   4122.800       1.795555    
   4123.700       1.807198    
   4124.600       1.818194    
   4125.500       1.828713    
   4126.400       1.837939    
   4127.300       1.839196    
   4128.200       1.847711    
   4129.100       1.859047    
   4130.000       1.864791    
   4130.900       1.857898    
   4131.800       1.851169    
   4132.700       1.860307    
   4133.600       1.882275    
   4134.500       1.899058    
   4135.400       1.912208    
   4136.300       1.918301    
   4137.200       1.920659    
   4138.100       1.926819    
   4139.000       1.937433    
   4139.900       1.950615    
   4140.800       1.951316    
   4141.700       1.943148    
   4142.600       1.923765    
   4143.500       1.917209    
   4144.400       1.937990    
   4145.300       1.965761    
   4146.200       1.977706    
   4147.100       1.982720    
   4148.000       1.985169    
   4148.900       1.984636    
   4149.800       1.983351    
   4150.700       1.995515    
   4151.600       2.006725    
   4152.500       2.006100    
   4153.400       1.992946    
   4154.300       1.981265    
   4155.200       1.977907    
   4156.100       1.989370    
   4157.000       2.002661    
   4157.900       2.008933    
   4158.800       2.009823    
   4159.700       2.016491    
   4160.600       2.019281    
   4161.500       2.018888    
   4162.400       2.012188    
   4163.300       2.004869    
   4164.200       2.004834    
   4165.100       2.014922    
   4166.000       2.020525    
   4166.900       2.015042    
   4167.800       2.011477    
   4168.700       2.011901    
   4169.600       2.008755    
   4170.500       2.001804    
   4171.400       1.996617    
   4172.300       1.984613    
   4173.200       1.979728    
   4174.100       1.985540    
   4175.000       1.996763    
   4175.900       1.996318    
   4176.800       1.988692    
   4177.700       1.981187    
   4178.600       1.982767    
   4179.500       1.991636    
   4180.400       1.997698    
   4181.300       1.993860    
   4182.200       1.996074    
   4183.100       2.000306    
   4184.000       2.006586    
   4184.900       2.010984    
   4185.800       2.012170    
   4186.700       2.002309    
   4187.600       1.995983    
   4188.500       2.002212    
   4189.400       2.014239    
   4190.300       2.015110    
   4191.200       2.010562    
   4192.100       2.008616    
   4193.000       2.011808    
   4193.900       2.009972    
   4194.800       2.009246    
   4195.700       2.014218    
   4196.600       2.007854    
   4197.500       1.987780    
   4198.400       1.968996    
   4199.300       1.972429    
   4200.200       1.977141    
   4201.100       1.968907    
   4202.000       1.961369    
   4202.900       1.972232    
   4203.800       1.991739    
   4204.700       2.003988    
   4205.600       2.001846    
   4206.500       2.003529    
   4207.400       2.004205    
   4208.300       1.998955    
   4209.200       1.989076    
   4210.100       1.984782    
   4211.000       1.982794    
   4211.900       1.985627    
   4212.800       1.988023    
   4213.700       1.978548    
   4214.600       1.948717    
   4215.500       1.929094    
   4216.400       1.943037    
